"species"	"x"	"y"
"Vaspis"	2.28702	48.47843
"Vaspis"	2.71875	48.19127
"Vaspis"	2.96544	48.38952
"Vaspis"	2.7935	48.34603
"Vaspis"	2.449	48.40356
"Vaspis"	2.63516	48.40773
"Vaspis"	2.7851	48.33666
"Vaspis"	2.71632	48.21658
"Vaspis"	2.7892	48.34711
"Vaspis"	2.71825	48.21828
"Vaspis"	2.71874	48.21865
"Vaspis"	2.41303	48.52343
"Vaspis"	2.78581	48.34602
"Vaspis"	1.82642	48.65354
"Vaspis"	2.41903	48.46737
"Vaspis"	2.72184	48.2186
"Vaspis"	2.66317	48.25485
"Vaspis"	2.77285	48.21571
"Vaspis"	2.77461	48.20783
"Vaspis"	2.45631	48.49901
"Vaspis"	2.77689	48.3435
"Vaspis"	2.81921	48.14194
"Vaspis"	2.36994	48.51366
"Vaspis"	2.22437	48.47808
"Vaspis"	2.36576	48.48848
"Vaspis"	2.37021	48.51239
"Vaspis"	2.72119	48.21849
"Vaspis"	2.70783	48.31023
"Vaspis"	2.39498	48.49706
"Vaspis"	2.77698	48.34345
"Vaspis"	2.45549	48.49888
"Vaspis"	2.22545	48.4849
"Vaspis"	2.44101	48.39512
"Vaspis"	2.70803	48.31021
"Vaspis"	2.36986	48.48468
"Vaspis"	2.43612	48.50672
"Vaspis"	2.75116	48.27862
"Vaspis"	2.37027	48.48659
"Vaspis"	2.43617	48.50667
"Vaspis"	2.70816	48.31022
"Vaspis"	2.82055	48.14193
"Vaspis"	2.70761	48.31025
"Vaspis"	2.70754	48.31024
"Vaspis"	2.36906	48.48478
"Vaspis"	2.70881	48.31031
"Vaspis"	2.81067	48.31696
"Vaspis"	2.70784	48.31021
"Vaspis"	2.70986	48.31048
"Vaspis"	2.37073	48.48477
"Vaspis"	2.30887	48.4387
"Vaspis"	2.3702	48.5122
"Vaspis"	2.63912	48.33084
"Vaspis"	2.67897	48.29669
"Vaspis"	2.73571	48.17155
"Vaspis"	2.37124	48.51079
"Vaspis"	2.36963	48.48633
"Vaspis"	2.37123	48.5108
"Vaspis"	2.40911	48.50671
"Vaspis"	2.3696	48.51475
"Vaspis"	2.73579	48.17146
"Vaspis"	2.70819	48.31022
"Vaspis"	2.43589	48.50662
"Vaspis"	2.36772	48.45585
"Vaspis"	2.37004	48.51297
"Vaspis"	2.82915	48.39398
"Vaspis"	2.43581	48.50723
"Vaspis"	2.70855	48.31026
"Vaspis"	2.39421	48.42593
"Vaspis"	2.69853	48.28618
"Vaspis"	2.43558	48.50755
"Vaspis"	2.77711	48.34223
"Vaspis"	2.67658	48.32911
"Vaspis"	2.37508	48.48588
"Vaspis"	2.71437	48.31144
"Vaspis"	2.33605	48.43405
"Vaspis"	2.22535	48.48486
"Vaspis"	2.36738	48.48851
"Vaspis"	2.77742	48.34235
"Vaspis"	2.37159	48.42264
"Vaspis"	2.37067	48.4846
"Vaspis"	2.37513	48.48589
"Vaspis"	2.36175	48.48742
"Vaspis"	2.37011	48.48661
"Vaspis"	2.36977	48.51448
"Vaspis"	2.22551	48.48559
"Vaspis"	2.36688	48.48874
"Vaspis"	2.36964	48.51476
"Vaspis"	2.67685	48.32907
"Vaspis"	2.71356	48.31121
"Vaspis"	2.39437	48.49728
"Vaspis"	2.37029	48.48656
"Vaspis"	2.36982	48.48471
"Vaspis"	2.37184	48.48634
"Vaspis"	2.59207	48.41591
"Vaspis"	2.69826	48.28611
"Vaspis"	2.36955	48.48633
"Vaspis"	2.59203	48.41586
